match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,result_code
10692,2018-09-15,2018,7,Toulouse,Monaco,1.31385925,1.69694675,-0.3830875,1.7194004999999999,1.46265125,0.25674924999999993,-0.63983675,1.25,1.5,-0.25,1.5,1.5,0.0,-0.25,0.75,0.25,0.5,2.25,1.0,1.25,85000000,380000000,0.2236842105263158,-1.497519996230115,-295000000,3695652.0,15200000.0,26.0,24.2,0.5354,0.3323,0.1323,D,1
10684,2018-09-16,2018,8,Bordeaux,Nimes,0.886810875,1.4522680000000001,-0.5654571250000001,1.126738,2.21640175,-1.0896637500000002,0.524206625,0.75,1.75,-1.0,2.25,2.25,0.0,-1.0,0.25,0.5,-0.25,0.75,1.5,-0.75,85000000,50000000,1.7,0.5306282510621704,35000000,3695652.0,2272727.0,26.0,26.5,0.2279,0.2839,0.4882,D,1
10687,2018-09-16,2018,8,Marseille,Guingamp,1.82086675,1.3500667499999999,0.4708000000000001,1.33541125,1.571548,-0.23613675,0.7069367500000001,2.5,1.75,0.75,0.75,2.5,-1.75,2.5,0.5,0.0,0.5,1.75,0.0,1.75,210000000,35000000,6.0,1.791759469228055,175000000,8750000.0,1590909.0,26.3,26.5,0.8986,0.0913,0.0101,H,0
10689,2018-09-16,2018,8,Nantes,Reims,1.1612277500000001,1.9654465,-0.80421875,0.6651465,1.16570525,-0.50055875,-0.30365999999999993,1.25,2.0,-0.75,0.75,1.25,-0.5,-0.25,0.25,0.5,-0.25,1.0,1.5,-0.5,85000000,55000000,1.5454545454545454,0.4353180712578455,30000000,3695652.0,2391304.0,26.0,25.5,0.4317,0.3972,0.1711,D,1
10696,2018-09-21,2018,8,Monaco,Nimes,1.4577432,1.379589,0.07815419999999995,1.1850904,1.970603,-0.7855126000000001,0.8636668000000001,1.4,1.4,0.0,2.4,2.4,0.0,0.0,0.2,0.4,-0.2,1.0,1.4,-0.3999999999999999,380000000,50000000,7.6,2.028148247292285,330000000,15200000.0,2272727.0,24.2,26.5,0.6268,0.2466,0.1266,D,1
10693,2018-09-22,2018,9,Angers,Toulouse,1.3580838,1.2887884,0.0692953999999999,1.2605553999999999,1.4397802,-0.17922480000000007,0.24852019999999997,1.6,1.8,-0.19999999999999996,1.2,1.4,-0.19999999999999996,0.0,0.4,0.6,-0.19999999999999996,1.2,2.0,-0.8,50000000,85000000,0.5882352941176471,-0.5306282510621704,-35000000,2272727.0,3695652.0,26.5,26.0,0.3486,0.4444,0.207,D,1
10695,2018-09-22,2018,9,Lille,Nantes,1.699931,0.9686036000000001,0.7313274,1.0934432,1.6576586,-0.5642153999999999,1.2955427999999998,1.8,0.8,1.0,1.0,1.6,-0.6000000000000001,1.6,0.6,0.2,0.39999999999999997,2.0,1.0,1.0,180000000,85000000,2.1176470588235294,0.750305594399894,95000000,7500000.0,3695652.0,25.1,26.0,0.1825,0.3,0.5175,H,0
10697,2018-09-22,2018,9,Montpellier,Nice,0.575936,1.0151276,-0.4391916,1.0308506000000002,1.277862,-0.24701139999999988,-0.19218020000000013,1.0,0.8,0.19999999999999996,0.8,1.4,-0.5999999999999999,0.7999999999999998,0.4,0.4,0.0,1.6,1.4,0.20000000000000018,85000000,130000000,0.6538461538461539,-0.42488319396526597,-45000000,3695652.0,5416667.0,26.0,25.8,0.7927,0.1668,0.0405,H,0
10698,2018-09-22,2018,9,Reims,Dijon,0.6174185999999999,1.0970252,-0.4796066000000001,1.8101272000000002,1.2146122,0.5955150000000002,-1.0751216000000003,0.6,1.0,-0.4,1.8,1.2,0.6000000000000001,-1.0,0.4,0.6,-0.19999999999999996,1.4,1.8,-0.40000000000000013,55000000,50000000,1.1,0.09531017980432493,5000000,2391304.0,2272727.0,25.5,26.5,0.6449,0.3106,0.0445,D,1
10700,2018-09-22,2018,9,Saint-Etienne,Caen,0.6278476,1.0768372,-0.4489896,1.0196004,1.5459554,-0.5263549999999999,0.07736539999999992,0.6,1.2,-0.6,1.2,1.4,-0.19999999999999996,-0.4,0.2,0.2,0.0,1.2,1.2,0.0,85000000,40000000,2.125,0.7537718023763802,45000000,3695652.0,1818182.0,26.0,26.3,0.9717,0.0253,0.003,H,0
