match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,home_roll_poss,away_roll_poss,net_poss,home_attackers,away_attackers,net_attackers,home_roll_gf_fbref,home_roll_ga_fbref,away_roll_gf_fbref,away_roll_ga_fbref,home_player_ga90,away_player_ga90,net_player_ga90,home_starter_ga90,away_starter_ga90,net_starter_ga90,home_squad_depth,away_squad_depth,net_squad_depth,home_minutes_conc,away_minutes_conc,result_code
10674,2018-09-01,2018,6,Nimes,Paris Saint Germain,1.1106173333333331,2.1045956666666665,-0.9939783333333332,2.6677133333333334,1.0158820000000002,1.6518313333333332,-2.6458096666666666,2.3333333333333335,1.6666666666666667,0.6666666666666667,3.0,0.6666666666666666,2.3333333333333335,-1.6666666666666667,0.6666666666666666,1.0,-0.3333333333333333,2.0,3.0,-1.0,50000000,780000000,0.0641025641025641,-2.7472709142554916,-730000000,2272727.0,30000000.0,26.5,25.8,0.0823,0.1712,0.7465,A,,,,,,,,,,,,,,,,,,,,,,2
10675,2018-09-01,2018,6,Angers,Lille,1.4933413333333334,1.2121773333333332,0.2811640000000002,1.3892516666666666,0.8771476666666667,0.5121039999999999,-0.2309399999999997,1.3333333333333333,2.6666666666666665,-1.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,-3.0,0.0,0.6666666666666666,-0.6666666666666666,0.0,2.3333333333333335,-2.3333333333333335,50000000,180000000,0.2777777777777778,-1.2809338454620642,-130000000,2272727.0,7500000.0,26.5,25.1,0.1009,0.3257,0.5734,H,46.0,52.666666666666664,-6.666666666666664,3.0,1.0,2.0,1.3333333333333333,2.6666666666666665,2.0,0.3333333333333333,,,,,,,,,,,,0
10676,2018-09-01,2018,6,Dijon,Caen,2.283396666666667,1.0920303333333334,1.1913663333333335,0.6749706666666667,1.9384736666666669,-1.263503,2.454869333333334,2.6666666666666665,0.3333333333333333,2.333333333333333,0.6666666666666666,1.6666666666666667,-1.0,3.333333333333333,1.0,0.0,1.0,3.0,0.6666666666666666,2.3333333333333335,50000000,40000000,1.25,0.2231435513142097,10000000,2272727.0,1818182.0,26.5,26.3,0.2214,0.3142,0.4644,A,40.666666666666664,35.333333333333336,5.333333333333329,1.0,1.0,0.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,1.6666666666666667,,,,,,,,,,,,2
10677,2018-09-01,2018,6,Guingamp,Toulouse,1.0961083333333332,1.7548473333333332,-0.658739,1.4112623333333332,1.5781556666666667,-0.1668933333333335,-0.4918456666666664,0.6666666666666666,2.6666666666666665,-2.0,1.0,1.6666666666666667,-0.6666666666666667,-1.3333333333333333,0.0,0.6666666666666666,-0.6666666666666666,0.0,2.0,-2.0,35000000,85000000,0.4117647058823529,-0.8873031950009028,-50000000,1590909.0,3695652.0,26.5,26.0,0.6162,0.2267,0.1571,A,48.0,51.0,-3.0,1.0,1.0,0.0,0.6666666666666666,2.6666666666666665,1.0,1.6666666666666667,,,,,,,,,,,,2
10678,2018-09-01,2018,6,Reims,Montpellier,0.548302,1.3979076666666668,-0.8496056666666668,0.6888376666666667,1.1010989999999998,-0.4122613333333331,-0.4373443333333336,1.0,1.3333333333333333,-0.3333333333333332,1.0,1.0,0.0,-0.3333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666667,55000000,85000000,0.6470588235294118,-0.4353180712578455,-30000000,2391304.0,3695652.0,25.5,26.0,0.4954,0.3476,0.157,A,35.0,47.0,-12.0,3.0,3.0,0.0,1.0,1.3333333333333333,1.0,1.0,,,,,,,,,,,,2
10679,2018-09-01,2018,6,Strasbourg,Nantes,0.7822623333333333,0.5526171666666667,0.2296451666666665,1.1162436666666666,2.1453653333333333,-1.0291216666666667,1.2587668333333333,1.0,1.0,0.0,0.6666666666666666,2.0,-1.3333333333333337,1.3333333333333337,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.3958,0.291,0.3132,A,54.333333333333336,66.66666666666667,-12.333333333333336,,3.0,,1.0,1.0,0.6666666666666666,2.0,,,,,,,,,,,,2
10680,2018-09-02,2018,6,Saint-Etienne,Amiens,0.50317,0.8052533333333333,-0.3020833333333332,1.1930713333333334,0.7721463333333333,0.4209250000000001,-0.7230083333333334,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,1.0,0.6666666666666667,85000000,42000000,2.0238095238095237,0.7049816382069481,43000000,3695652.0,1909091.0,26.0,26.0,0.4122,0.4393,0.1485,D,,49.333333333333336,,,3.0,,,,1.6666666666666667,1.6666666666666667,,,,,,,,,,,,1
10681,2018-09-02,2018,6,Rennes,Bordeaux,0.83798,1.0879346666666667,-0.2499546666666667,1.0330385,1.0540073333333333,-0.0209688333333333,-0.2289858333333334,1.3333333333333333,1.6666666666666667,-0.3333333333333335,1.0,1.6666666666666667,-0.6666666666666667,0.3333333333333332,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,0.3333333333333332,140000000,85000000,1.6470588235294117,0.4989911661189878,55000000,5833333.0,3695652.0,24.6,26.0,0.8921,0.0855,0.0224,H,45.333333333333336,43.0,2.3333333333333357,1.0,3.0,-2.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,,,,,,,,,,,,0
10682,2018-09-02,2018,6,Monaco,Marseille,1.6729306666666668,1.3432883333333334,0.3296423333333333,1.820909,1.1804856666666663,0.6404233333333336,-0.3107810000000002,1.3333333333333333,1.0,0.3333333333333332,2.3333333333333335,1.6666666666666667,0.6666666666666667,-0.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,380000000,210000000,1.8095238095238095,0.5930637220029628,170000000,15200000.0,8750000.0,24.2,26.3,0.3843,0.2684,0.3473,A,45.0,62.333333333333336,-17.333333333333336,1.0,1.0,0.0,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,,,,,,,,,,,,2
10690,2018-09-14,2018,7,Nice,Rennes,0.93034575,1.3368825,-0.40653675,1.2902475,0.927983,0.3622645,-0.76880125,0.5,1.5,-1.0,1.5,1.25,0.25,-1.25,0.25,0.5,-0.25,1.0,1.75,-0.75,130000000,140000000,0.9285714285714286,-0.0741079721537218,-10000000,5416667.0,5833333.0,25.8,24.6,0.4396,0.3147,0.2457,H,58.0,45.5,12.5,2.0,1.0,1.0,0.5,1.5,1.5,1.25,,,,,,,,,,,,0
10691,2018-09-14,2018,7,Paris Saint Germain,Saint-Etienne,2.6387400000000003,1.0556865,1.5830535000000003,0.5617345,0.6852214999999999,-0.1234869999999999,1.7065405000000002,3.25,1.0,2.25,0.75,0.5,0.25,2.0,1.0,0.25,0.75,3.0,1.5,1.5,780000000,85000000,9.176470588235292,2.216642663193321,695000000,30000000.0,3695652.0,25.8,26.0,0.8089,0.1369,0.0542,H,,,,,,,,,,,,,,,,,,,,,,0
10683,2018-09-15,2018,7,Amiens,Lille,0.976085,0.76346675,0.21261825,1.41991625,0.8485870000000001,0.5713292499999999,-0.3587109999999999,1.25,1.25,0.0,1.5,0.5,1.0,-1.0,0.25,0.5,-0.25,1.0,1.75,-0.75,42000000,180000000,0.2333333333333333,-1.455287232606842,-138000000,1909091.0,7500000.0,26.0,25.1,0.0946,0.1774,0.728,A,46.25,56.5,-10.25,3.0,1.0,2.0,1.25,1.25,1.5,0.5,,,,,,,,,,,,2
10685,2018-09-15,2018,7,Caen,Lyon,0.8185979999999999,1.68009175,-0.86149375,1.36657325,0.44253075,0.9240425,-1.78553625,1.0,1.25,-0.25,1.0,0.5,0.5,-0.75,0.25,0.5,-0.25,1.25,1.5,-0.25,40000000,320000000,0.125,-2.0794415416798357,-280000000,1818182.0,12800000.0,26.3,25.6,0.6145,0.2412,0.1443,D,36.0,63.25,-27.25,1.0,1.0,0.0,1.0,1.25,1.0,0.5,,,,,,,,,,,,1
10686,2018-09-15,2018,7,Dijon,Angers,1.938784,1.13139275,0.80739125,1.31073225,1.2871105,0.0236217499999999,0.7837695,2.0,0.75,1.25,1.25,2.0,-0.75,2.0,0.75,0.25,0.5,2.25,0.75,1.5,50000000,50000000,1.0,0.0,0,2272727.0,2272727.0,26.5,26.5,0.2804,0.295,0.4246,A,46.0,42.5,3.5,1.0,3.0,-2.0,2.0,0.75,1.25,2.0,,,,,,,,,,,,2
10688,2018-09-15,2018,7,Montpellier,Strasbourg,0.63390275,1.07974425,-0.4458415000000001,0.94311925,0.738507875,0.2046113749999999,-0.650452875,1.0,0.75,0.25,1.25,1.5,-0.25,0.5,0.5,0.25,0.25,1.75,1.0,0.75,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.1364,0.3984,0.4652,D,46.0,53.0,-7.0,3.0,2.0,1.0,1.0,0.75,1.25,1.5,,,,,,,,,,,,1
10692,2018-09-15,2018,7,Toulouse,Monaco,1.31385925,1.69694675,-0.3830875,1.7194005,1.46265125,0.2567492499999999,-0.63983675,1.25,1.5,-0.25,1.5,1.5,0.0,-0.25,0.75,0.25,0.5,2.25,1.0,1.25,85000000,380000000,0.2236842105263158,-1.497519996230115,-295000000,3695652.0,15200000.0,26.0,24.2,0.5354,0.3323,0.1323,D,48.5,45.25,3.25,1.0,1.0,0.0,1.25,1.5,1.5,1.5,,,,,,,,,,,,1
