league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
FRA-Ligue 1,1819,Guingamp,Louis Carnot,FRA,MF,17,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Lucas Deaux,FRA,MF,29,1988,18,17,1188,13.2,3,1,4,3,0,0,4,0,0.23,0.08,0.3,0.23,0.3
FRA-Ligue 1,1819,Guingamp,Ludovic Blas,FRA,MF,20,1997,34,27,2372,26.4,1,6,7,0,1,1,5,0,0.04,0.23,0.27,0.0,0.23
FRA-Ligue 1,1819,Guingamp,Marc-Aurèle Caillard,FRA,GK,24,1994,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Marcus Coco,FRA,"MF,FW",22,1996,33,21,1840,20.4,1,2,3,1,0,0,3,1,0.05,0.1,0.15,0.05,0.15
FRA-Ligue 1,1819,Guingamp,Marcus Thuram,FRA,"MF,FW",20,1997,32,32,2571,28.6,9,1,10,5,4,5,4,2,0.32,0.04,0.35,0.18,0.21
FRA-Ligue 1,1819,Guingamp,Matthias Phaeton,GLP,"FW,MF",18,2000,4,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Mehdi Merghem,ALG,"MF,FW",21,1997,9,9,721,8.0,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
FRA-Ligue 1,1819,Guingamp,Nathaël Julan,FRA,FW,22,1996,10,3,434,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Nicolas Benezet,FRA,"MF,FW",27,1991,25,18,1666,18.5,3,1,4,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22
FRA-Ligue 1,1819,Guingamp,Nolan Roux,FRA,FW,30,1988,26,17,1536,17.1,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12
FRA-Ligue 1,1819,Guingamp,Papy Djilobodji,SEN,DF,29,1988,4,2,175,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Pedro Rebocho,POR,DF,23,1995,36,36,3240,36.0,0,8,8,0,0,0,4,0,0.0,0.22,0.22,0.0,0.22
