league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes
FRA-Ligue 1,1819,Marseille,2019-04-13 Marseille-Nîmes,2019-04-13,17:00:00,Matchweek 32,Sat,Home,W,2,1,Nîmes,60,62614,Dimitri Payet,4-2-3-1,4-1-4-1,Franck Schneider,/en/matches/10c30fce/Marseille-Nimes-April-13-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-04-20 Guingamp-Marseille,2019-04-20,17:00:00,Matchweek 33,Sat,Away,W,3,1,Guingamp,56,18164,Dimitri Payet,4-2-3-1,4-3-3,Mikael Lesage,/en/matches/43aeb747/Guingamp-Marseille-April-20-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-04-28 Marseille-Nantes,2019-04-28,21:00:00,Matchweek 34,Sun,Home,L,1,2,Nantes,65,51969,Dimitri Payet,4-2-3-1,4-1-4-1,Johan Hamel,/en/matches/a4b7f64b/Marseille-Nantes-April-28-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-05-03 Strasbourg-Marseille,2019-05-03,20:45:00,Matchweek 35,Fri,Away,D,1,1,Strasbourg,57,25962,Luiz Gustavo,3-5-2,3-5-2,Jérôme Miguelgorry,/en/matches/3149818a/Strasbourg-Marseille-May-3-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-05-12 Marseille-Lyon,2019-05-12,21:00:00,Matchweek 36,Sun,Home,L,0,3,Lyon,48,61707,Luiz Gustavo,4-3-3,4-2-3-1,Ruddy Buquet,/en/matches/deb93acd/Choc-des-Olympiques-Marseille-Lyon-May-12-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-05-18 Toulouse-Marseille,2019-05-18,21:00:00,Matchweek 37,Sat,Away,W,5,2,Toulouse,58,24293,Dimitri Payet,4-2-3-1,4-2-3-1,Franck Schneider,/en/matches/2a516437/Toulouse-Marseille-May-18-2019-Ligue-1,
FRA-Ligue 1,1819,Marseille,2019-05-24 Marseille-Montpellier,2019-05-24,21:05:00,Matchweek 38,Fri,Home,W,1,0,Montpellier,56,53788,Dimitri Payet,4-3-3,3-4-1-2,Antony Gautier,/en/matches/4648d0c8/Marseille-Montpellier-May-24-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-08-11 Nantes-Monaco,2018-08-11,17:00:00,Matchweek 1,Sat,Away,W,3,1,Nantes,33,32760,Kamil Glik,4-2-3-1,4-2-3-1,Jérôme Brisard,/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-08-18 Monaco-Lille,2018-08-18,20:00:00,Matchweek 2,Sat,Home,D,0,0,Lille,48,11140,Radamel Falcao,4-2-3-1,4-2-3-1,Thomas Léonard,/en/matches/8c62cc39/Monaco-Lille-August-18-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-08-26 Bordeaux-Monaco,2018-08-26,17:00:00,Matchweek 3,Sun,Away,L,1,2,Bordeaux,54,21607,Radamel Falcao,4-2-3-1,4-3-3,Clément Turpin,/en/matches/87d5239f/Bordeaux-Monaco-August-26-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-09-02 Monaco-Marseille,2018-09-02,21:00:00,Matchweek 4,Sun,Home,L,2,3,Marseille,46,14269,Radamel Falcao,4-1-4-1,4-2-3-1,Benoît Millot,/en/matches/69be5afc/Monaco-Marseille-September-2-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-09-15 Toulouse-Monaco,2018-09-15,20:00:00,Matchweek 5,Sat,Away,D,1,1,Toulouse,46,16689,Kamil Glik,4-1-4-1,4-2-3-1,Ruddy Buquet,/en/matches/7be9af3a/Toulouse-Monaco-September-15-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-09-21 Monaco-Nîmes,2018-09-21,20:45:00,Matchweek 6,Fri,Home,D,1,1,Nîmes,57,6837,Radamel Falcao,4-2-3-1,4-4-2,Amaury Delerue,/en/matches/f9db9805/Monaco-Nimes-September-21-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-09-25 Monaco-Angers,2018-09-25,19:00:00,Matchweek 7,Tue,Home,L,0,1,Angers,67,5502,Radamel Falcao,4-2-3-1,4-1-4-1,Willy Delajod,/en/matches/5af8fe8c/Monaco-Angers-September-25-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-09-28 Saint-Étienne-Monaco,2018-09-28,20:45:00,Matchweek 8,Fri,Away,L,0,2,Saint-Étienne,51,26486,Radamel Falcao,4-4-2◆,4-2-3-1,Jérôme Brisard,/en/matches/fffbcb62/Saint-Etienne-Monaco-September-28-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-10-07 Monaco-Rennes,2018-10-07,17:00:00,Matchweek 9,Sun,Home,L,1,2,Rennes,47,6268,Radamel Falcao,3-4-1-2,4-4-2,Olivier Thual,/en/matches/f1b867e5/Monaco-Rennes-October-7-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-10-20 Strasbourg-Monaco,2018-10-20,20:00:00,Matchweek 10,Sat,Away,L,1,2,Strasbourg,53,25358,Radamel Falcao,4-3-2-1,5-4-1,Nicolas Rainville,/en/matches/da4b397e/Strasbourg-Monaco-October-20-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-10-27 Monaco-Dijon,2018-10-27,20:00:00,Matchweek 11,Sat,Home,D,2,2,Dijon,47,7139,Kamil Glik,4-3-2-1,4-1-4-1,Jérôme Miguelgorry,/en/matches/18916f9c/Monaco-Dijon-October-27-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-11-03 Reims-Monaco,2018-11-03,20:00:00,Matchweek 12,Sat,Away,L,0,1,Reims,72,16005,Kamil Glik,3-4-3,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/73090e41/Reims-Monaco-November-3-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-11-11 Monaco-Paris Saint-Germain,2018-11-11,21:00:00,Matchweek 13,Sun,Home,L,0,4,Paris Saint-Germain,34,12533,Radamel Falcao,4-2-3-1,3-4-3,Ruddy Buquet,/en/matches/27851b83/Monaco-Paris-Saint-Germain-November-11-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-11-24 Caen-Monaco,2018-11-24,20:00:00,Matchweek 14,Sat,Away,W,1,0,Caen,54,15013,Radamel Falcao,4-2-3-1,4-4-2,Thomas Léonard,/en/matches/276f7058/Caen-Monaco-November-24-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-12-01 Monaco-Montpellier,2018-12-01,20:00:00,Matchweek 15,Sat,Home,L,1,2,Montpellier,47,6725,Radamel Falcao,4-4-2,3-4-3,Olivier Thual,/en/matches/7c1f021c/Monaco-Montpellier-December-1-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-12-04 Amiens-Monaco,2018-12-04,19:00:00,Matchweek 16,Tue,Away,W,2,0,Amiens,40,11048,Radamel Falcao,4-1-4-1,4-2-3-1,Jérôme Brisard,/en/matches/b2f04890/Amiens-Monaco-December-4-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-12-16 Lyon-Monaco,2018-12-16,21:00:00,Matchweek 18,Sun,Away,L,0,3,Lyon,26,46477,Radamel Falcao,3-5-1-1,3-4-1-2,Clément Turpin,/en/matches/98dbd053/Lyon-Monaco-December-16-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2018-12-22 Monaco-Guingamp,2018-12-22,21:00:00,Matchweek 19,Sat,Home,L,0,2,Guingamp,63,6424,Radamel Falcao,4-4-2,4-2-3-1,Franck Schneider,/en/matches/9a480a9f/Monaco-Guingamp-December-22-2018-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-01-13 Marseille-Monaco,2019-01-13,21:00:00,Matchweek 20,Sun,Away,D,1,1,Marseille,44,44315,Youri Tielemans,3-5-2,4-2-3-1,Mikael Lesage,/en/matches/027f9d30/Marseille-Monaco-January-13-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-01-16 Monaco-Nice,2019-01-16,19:00:00,Matchweek 17,Wed,Home,D,1,1,Nice,56,11345,Youri Tielemans,3-4-3,3-5-2,Benoît Bastien,/en/matches/e55d5c98/Monaco-Nice-January-16-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-01-19 Monaco-Strasbourg,2019-01-19,20:00:00,Matchweek 21,Sat,Home,L,1,5,Strasbourg,45,7298,Radamel Falcao,3-4-3,3-5-1-1,François Letexier,/en/matches/9fdeb491/Monaco-Strasbourg-January-19-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-01-26 Dijon-Monaco,2019-01-26,20:00:00,Matchweek 22,Sat,Away,L,0,2,Dijon,55,12060,Radamel Falcao,3-5-2,4-2-3-1,Eric Wattellier,/en/matches/038b6a22/Dijon-Monaco-January-26-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-02-02 Monaco-Toulouse,2019-02-02,20:00:00,Matchweek 23,Sat,Home,W,2,1,Toulouse,51,5896,Radamel Falcao,4-2-3-1,4-3-3,Mikael Lesage,/en/matches/07d2b627/Monaco-Toulouse-February-2-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-02-10 Montpellier-Monaco,2019-02-10,15:00:00,Matchweek 24,Sun,Away,D,2,2,Montpellier,50,13709,Radamel Falcao,4-2-3-1,3-4-3,Franck Schneider,/en/matches/e951de15/Montpellier-Monaco-February-10-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-02-16 Monaco-Nantes,2019-02-16,20:00:00,Matchweek 25,Sat,Home,W,1,0,Nantes,49,7557,Radamel Falcao,4-2-3-1,4-2-3-1,Olivier Thual,/en/matches/94a15166/Monaco-Nantes-February-16-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-02-24 Monaco-Lyon,2019-02-24,21:00:00,Matchweek 26,Sun,Home,W,2,0,Lyon,43,10157,Radamel Falcao,4-2-3-1,4-3-3,Benoît Millot,/en/matches/6f8618ce/Monaco-Lyon-February-24-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-03-02 Angers-Monaco,2019-03-02,20:00:00,Matchweek 27,Sat,Away,D,2,2,Angers,63,11391,Radamel Falcao,4-2-3-1,4-1-4-1,Antony Gautier,/en/matches/e0589a40/Angers-Monaco-March-2-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-03-09 Monaco-Bordeaux,2019-03-09,20:00:00,Matchweek 28,Sat,Home,D,1,1,Bordeaux,58,8042,Radamel Falcao,4-2-3-1,4-2-3-1,François Letexier,/en/matches/21e4e8be/Monaco-Bordeaux-March-9-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-03-15 Lille-Monaco,2019-03-15,20:45:00,Matchweek 29,Fri,Away,W,1,0,Lille,34,37724,Kamil Glik,4-2-3-1,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/d2884d93/Lille-Monaco-March-15-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-03-31 Monaco-Caen,2019-03-31,15:00:00,Matchweek 30,Sun,Home,L,0,1,Caen,68,7031,Radamel Falcao,4-2-3-1,4-1-4-1,Ruddy Buquet,/en/matches/169b95cd/Monaco-Caen-March-31-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-04-06 Guingamp-Monaco,2019-04-06,20:00:00,Matchweek 31,Sat,Away,D,1,1,Guingamp,68,13997,Kamil Glik,4-2-3-1,4-2-3-1,Benoît Bastien,/en/matches/5eac0afa/Guingamp-Monaco-April-6-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-04-13 Monaco-Reims,2019-04-13,20:00:00,Matchweek 32,Sat,Home,D,0,0,Reims,57,7094,Kamil Glik,4-2-3-1,4-2-3-1,Willy Delajod,/en/matches/9ff0704f/Monaco-Reims-April-13-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-04-21 Paris Saint-Germain-Monaco,2019-04-21,21:00:00,Matchweek 33,Sun,Away,L,1,3,Paris Saint-Germain,37,43581,Radamel Falcao,4-4-1-1,3-4-3,Clément Turpin,/en/matches/467e2b6a/Paris-Saint-Germain-Monaco-April-21-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-05-01 Rennes-Monaco,2019-05-01,19:00:00,Matchweek 34,Wed,Away,D,2,2,Rennes,49,28285,Radamel Falcao,4-2-3-1,4-4-2,Eric Wattellier,/en/matches/84eddedd/Rennes-Monaco-May-1-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-05-05 Monaco-Saint-Étienne,2019-05-05,17:00:00,Matchweek 35,Sun,Home,L,2,3,Saint-Étienne,42,9047,Radamel Falcao,4-2-3-1,3-4-1-2,Benoît Millot,/en/matches/4068ef35/Monaco-Saint-Etienne-May-5-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-05-11 Nîmes-Monaco,2019-05-11,20:00:00,Matchweek 36,Sat,Away,L,0,1,Nîmes,55,14811,Radamel Falcao,4-1-4-1,4-1-4-1,Jeremy Stinat,/en/matches/b57a71e2/Nimes-Monaco-May-11-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-05-18 Monaco-Amiens,2019-05-18,21:00:00,Matchweek 37,Sat,Home,W,2,0,Amiens,41,10188,Radamel Falcao,4-4-2,4-4-2,Clément Turpin,/en/matches/1553a917/Monaco-Amiens-May-18-2019-Ligue-1,
FRA-Ligue 1,1819,Monaco,2019-05-24 Nice-Monaco,2019-05-24,21:05:00,Matchweek 38,Fri,Away,L,0,2,Nice,43,23356,Radamel Falcao,4-2-3-1,4-3-3,Ruddy Buquet,/en/matches/e8793a81/Nice-Monaco-May-24-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-08-11 Montpellier-Dijon,2018-08-11,20:00:00,Matchweek 1,Sat,Home,L,1,2,Dijon,54,12765,Vitorino Hilton,3-4-3,3-4-3,Florent Batta,/en/matches/002eb19a/Montpellier-Dijon-August-11-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-08-18 Amiens-Montpellier,2018-08-18,20:00:00,Matchweek 2,Sat,Away,W,2,1,Amiens,42,10402,Vitorino Hilton,3-4-1-2,4-2-3-1,Karim Abed,/en/matches/73582813/Amiens-Montpellier-August-18-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-08-25 Montpellier-Saint-Étienne,2018-08-25,20:00:00,Matchweek 3,Sat,Home,D,0,0,Saint-Étienne,45,14777,Vitorino Hilton,3-4-1-2,4-2-3-1,Jérôme Brisard,/en/matches/dc15418c/Montpellier-Saint-Etienne-August-25-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-09-01 Reims-Montpellier,2018-09-01,20:00:00,Matchweek 4,Sat,Away,W,1,0,Reims,43,12042,Vitorino Hilton,3-4-3,4-3-3,Jeremy Stinat,/en/matches/caa7751f/Reims-Montpellier-September-1-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-09-15 Montpellier-Strasbourg,2018-09-15,20:00:00,Matchweek 5,Sat,Home,D,1,1,Strasbourg,41,10630,Vitorino Hilton,3-4-3,3-1-4-2,Willy Delajod,/en/matches/87337aaa/Montpellier-Strasbourg-September-15-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-09-22 Montpellier-Nice,2018-09-22,20:00:00,Matchweek 6,Sat,Home,W,1,0,Nice,40,11015,Vitorino Hilton,3-4-1-2,3-5-2,Thomas Léonard,/en/matches/cee34f69/Montpellier-Nice-September-22-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-09-26 Caen-Montpellier,2018-09-26,19:00:00,Matchweek 7,Wed,Away,D,2,2,Caen,49,14402,Vitorino Hilton,5-3-2,4-2-3-1,Antony Gautier,/en/matches/b90092b0/Caen-Montpellier-September-26-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-09-30 Montpellier-Nîmes,2018-09-30,17:00:00,Matchweek 8,Sun,Home,W,3,0,Nîmes,58,20054,Ellyes Skhiri,3-4-1-2,4-4-2,Ruddy Buquet,/en/matches/9313ceaf/Montpellier-Nimes-September-30-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-10-06 Guingamp-Montpellier,2018-10-06,20:00:00,Matchweek 9,Sat,Away,D,1,1,Guingamp,59,13643,Ellyes Skhiri,3-4-1-2,5-4-1,Jeremy Stinat,/en/matches/7355eddb/Guingamp-Montpellier-October-6-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-10-21 Montpellier-Bordeaux,2018-10-21,15:00:00,Matchweek 10,Sun,Home,W,2,0,Bordeaux,42,12491,Vitorino Hilton,3-5-2,4-3-3,Franck Schneider,/en/matches/dbc08fd9/Montpellier-Bordeaux-October-21-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-10-27 Toulouse-Montpellier,2018-10-27,20:00:00,Matchweek 11,Sat,Away,W,3,0,Toulouse,51,14100,Vitorino Hilton,3-5-2,3-4-1-2,Karim Abed,/en/matches/091274cf/Toulouse-Montpellier-October-27-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-11-04 Montpellier-Marseille,2018-11-04,21:00:00,Matchweek 12,Sun,Home,W,3,0,Marseille,51,19683,Vitorino Hilton,3-4-3,4-3-3,Antony Gautier,/en/matches/2e0da403/Montpellier-Marseille-November-4-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-11-10 Angers-Montpellier,2018-11-10,20:00:00,Matchweek 13,Sat,Away,L,0,1,Angers,61,8342,Vitorino Hilton,3-4-3,3-5-1-1,Jeremy Stinat,/en/matches/72d66530/Angers-Montpellier-November-10-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-11-25 Montpellier-Rennes,2018-11-25,15:00:00,Matchweek 14,Sun,Home,D,2,2,Rennes,57,10761,Vitorino Hilton,3-4-3,5-3-2,Jérôme Brisard,/en/matches/a193ccaf/Montpellier-Rennes-November-25-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-12-01 Monaco-Montpellier,2018-12-01,20:00:00,Matchweek 15,Sat,Away,W,2,1,Monaco,53,6725,Vitorino Hilton,3-4-3,4-4-2,Olivier Thual,/en/matches/7c1f021c/Monaco-Montpellier-December-1-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-12-04 Montpellier-Lille,2018-12-04,21:00:00,Matchweek 16,Tue,Home,L,0,1,Lille,57,12486,Vitorino Hilton,4-4-1-1,4-2-3-1,Mikael Lesage,/en/matches/0100d3b5/Montpellier-Lille-December-4-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2018-12-22 Montpellier-Lyon,2018-12-22,21:00:00,Matchweek 19,Sat,Home,D,1,1,Lyon,43,17275,Vitorino Hilton,3-4-1-2,3-4-1-2,François Letexier,/en/matches/1ef2f15a/Montpellier-Lyon-December-22-2018-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-01-08 Nantes-Montpellier,2019-01-08,19:00:00,Matchweek 18,Tue,Away,L,0,2,Nantes,39,15780,Vitorino Hilton,3-4-1-2,3-5-2,Willy Delajod,/en/matches/171cf480/Nantes-Montpellier-January-8-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-01-13 Dijon-Montpellier,2019-01-13,17:00:00,Matchweek 20,Sun,Away,D,1,1,Dijon,60,11910,Vitorino Hilton,3-4-1-2,4-3-3,Benoît Bastien,/en/matches/e60b1718/Dijon-Montpellier-January-13-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-01-20 Rennes-Montpellier,2019-01-20,15:00:00,Matchweek 21,Sun,Away,D,0,0,Rennes,48,23990,Vitorino Hilton,3-4-3,4-2-3-1,Jérôme Miguelgorry,/en/matches/f3ab6c35/Rennes-Montpellier-January-20-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-01-27 Montpellier-Caen,2019-01-27,15:00:00,Matchweek 22,Sun,Home,W,2,0,Caen,52,11001,Vitorino Hilton,3-4-1-2,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/7baec3a3/Montpellier-Caen-January-27-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-02-03 Nîmes-Montpellier,2019-02-03,15:00:00,Matchweek 23,Sun,Away,D,1,1,Nîmes,58,18045,Vitorino Hilton,3-4-1-2,4-3-3,Antony Gautier,/en/matches/a4107f81/Nimes-Montpellier-February-3-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-02-10 Montpellier-Monaco,2019-02-10,15:00:00,Matchweek 24,Sun,Home,D,2,2,Monaco,50,13709,Vitorino Hilton,3-4-3,4-2-3-1,Franck Schneider,/en/matches/e951de15/Montpellier-Monaco-February-10-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-02-17 Lille-Montpellier,2019-02-17,15:00:00,Matchweek 25,Sun,Away,D,0,0,Lille,38,36967,Vitorino Hilton,3-4-3,4-2-3-1,Ruddy Buquet,/en/matches/65eef14a/Lille-Montpellier-February-17-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-02-20 Paris Saint-Germain-Montpellier,2019-02-20,21:00:00,Matchweek 17,Wed,Away,L,1,5,Paris Saint-Germain,35,47198,Vitorino Hilton,3-4-3,4-4-2,François Letexier,/en/matches/92a540fc/Paris-Saint-Germain-Montpellier-February-20-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-02-24 Montpellier-Reims,2019-02-24,15:00:00,Matchweek 26,Sun,Home,L,2,4,Reims,59,11124,Vitorino Hilton,3-4-1-2,4-2-3-1,Willy Delajod,/en/matches/5e550ddf/Montpellier-Reims-February-24-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-03-05 Bordeaux-Montpellier,2019-03-05,19:00:00,Matchweek 27,Tue,Away,W,2,1,Bordeaux,38,14522,Vitorino Hilton,3-4-3,4-2-3-1,Jérôme Brisard,/en/matches/2b32e7be/Bordeaux-Montpellier-March-5-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-03-10 Montpellier-Angers,2019-03-10,15:00:00,Matchweek 28,Sun,Home,D,2,2,Angers,40,10931,Vitorino Hilton,3-4-3,3-5-2,Karim Abed,/en/matches/74e6442d/Montpellier-Angers-March-10-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-03-17 Lyon-Montpellier,2019-03-17,14:30:00,Matchweek 29,Sun,Away,L,2,3,Lyon,35,47134,Vitorino Hilton,3-4-3,4-2-3-1,Clément Turpin,/en/matches/406c5683/Lyon-Montpellier-March-17-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-04-03 Montpellier-Guingamp,2019-04-03,19:00:00,Matchweek 30,Wed,Home,W,2,0,Guingamp,52,11187,Vitorino Hilton,3-4-1-2,4-2-3-1,Franck Schneider,/en/matches/61e304b8/Montpellier-Guingamp-April-3-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-04-07 Nice-Montpellier,2019-04-07,17:00:00,Matchweek 31,Sun,Away,L,0,1,Nice,49,17980,Vitorino Hilton,3-4-1-2,4-3-3,Ruddy Buquet,/en/matches/096aa88a/Nice-Montpellier-April-7-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-04-14 Montpellier-Toulouse,2019-04-14,15:00:00,Matchweek 32,Sun,Home,W,2,1,Toulouse,46,11986,Vitorino Hilton,3-4-1-2,4-3-3,Benoît Millot,/en/matches/e7ff1ff0/Montpellier-Toulouse-April-14-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-04-20 Strasbourg-Montpellier,2019-04-20,20:00:00,Matchweek 33,Sat,Away,W,3,1,Strasbourg,46,25192,Vitorino Hilton,3-4-1-2,4-3-3,François Letexier,/en/matches/3f44f10d/Strasbourg-Montpellier-April-20-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-04-30 Montpellier-Paris Saint-Germain,2019-04-30,19:00:00,Matchweek 34,Tue,Home,W,3,2,Paris Saint-Germain,34,20477,Vitorino Hilton,3-4-1-2,3-4-3,Mikael Lesage,/en/matches/27aba02c/Montpellier-Paris-Saint-Germain-April-30-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-05-05 Montpellier-Amiens,2019-05-05,15:00:00,Matchweek 35,Sun,Home,D,1,1,Amiens,51,14330,Vitorino Hilton,3-4-1-2,4-2-3-1,Olivier Thual,/en/matches/703a0d85/Montpellier-Amiens-May-5-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-05-10 Saint-Étienne-Montpellier,2019-05-10,20:45:00,Matchweek 36,Fri,Away,W,1,0,Saint-Étienne,36,35644,Vitorino Hilton,3-4-1-2,4-2-3-1,Benoît Bastien,/en/matches/363767ea/Saint-Etienne-Montpellier-May-10-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-05-18 Montpellier-Nantes,2019-05-18,21:00:00,Matchweek 37,Sat,Home,D,1,1,Nantes,61,16063,Vitorino Hilton,3-4-1-2,4-3-3,Ruddy Buquet,/en/matches/cd5bb5dc/Montpellier-Nantes-May-18-2019-Ligue-1,
FRA-Ligue 1,1819,Montpellier,2019-05-24 Marseille-Montpellier,2019-05-24,21:05:00,Matchweek 38,Fri,Away,L,0,1,Marseille,44,53788,Vitorino Hilton,3-4-1-2,4-3-3,Antony Gautier,/en/matches/4648d0c8/Marseille-Montpellier-May-24-2019-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-08-11 Nantes-Monaco,2018-08-11,17:00:00,Matchweek 1,Sat,Home,L,1,3,Monaco,67,32760,Valentin Rongier,4-2-3-1,4-2-3-1,Jérôme Brisard,/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-08-18 Dijon-Nantes,2018-08-18,20:00:00,Matchweek 2,Sat,Away,L,0,2,Dijon,68,13617,Valentin Rongier,4-2-3-1,4-2-3-1,Jeremy Stinat,/en/matches/b4404fb6/Dijon-Nantes-August-18-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-08-25 Nantes-Caen,2018-08-25,20:00:00,Matchweek 3,Sat,Home,D,1,1,Caen,65,19674,Valentin Rongier,4-3-3,4-2-3-1,Hakim Ben El Hadj Salem,/en/matches/801ccb61/Nantes-Caen-August-25-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-09-01 Strasbourg-Nantes,2018-09-01,20:00:00,Matchweek 4,Sat,Away,W,3,2,Strasbourg,51,25091,Valentin Rongier,4-3-3,4-4-2,Olivier Thual,/en/matches/0a71acf5/Strasbourg-Nantes-September-1-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-09-16 Nantes-Reims,2018-09-16,15:00:00,Matchweek 5,Sun,Home,D,0,0,Reims,67,18981,Valentin Rongier,4-3-3,4-2-3-1,Eric Wattellier,/en/matches/56efc37c/Nantes-Reims-September-16-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-09-22 Lille-Nantes,2018-09-22,17:00:00,Matchweek 6,Sat,Away,L,1,2,Lille,57,27353,Valentin Rongier,4-2-3-1,4-2-3-1,Benoît Bastien,/en/matches/c89956a8/Lille-Nantes-September-22-2018-Ligue-1,
FRA-Ligue 1,1819,Nantes,2018-09-25 Nantes-Nice,2018-09-25,19:00:00,Matchweek 7,Tue,Home,L,1,2,Nice,51,16604,Valentin Rongier,4-2-3-1,3-4-1-2,Mikael Lesage,/en/matches/ae183f7d/Nantes-Nice-September-25-2018-Ligue-1,
