season,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,result
2018,10730,2018-10-06,Nimes,Reims,0,0,0.760306,1.4833,0.1536,0.2591,0.5873,D
2018,10725,2018-10-07,Bordeaux,Nantes,3,0,1.75432,0.701317,0.6657,0.2421,0.0922,H
2018,10728,2018-10-07,Marseille,Caen,2,0,1.4975,0.536643,0.6533,0.2446,0.1021,H
2018,10729,2018-10-07,Monaco,Rennes,1,2,0.390296,1.01659,0.1203,0.3244,0.5553,A
2018,10732,2018-10-07,Paris Saint Germain,Lyon,5,0,4.4359,1.63396,0.9025,0.0676,0.0299,H
2018,10735,2018-10-19,Lyon,Nimes,2,0,1.71752,1.39758,0.4691,0.2382,0.2927,H
2018,10733,2018-10-20,Caen,Guingamp,0,0,0.663293,0.420901,0.3837,0.4366,0.1797,D
2018,10734,2018-10-20,Dijon,Lille,1,2,1.51825,1.94079,0.2421,0.2792,0.4787,A
2018,10737,2018-10-20,Nantes,Toulouse,4,0,2.70942,0.540454,0.8985,0.0819,0.0196,H
2018,10739,2018-10-20,Paris Saint Germain,Amiens,5,0,2.50391,0.573532,0.8563,0.1075,0.0362,H
2018,10740,2018-10-20,Reims,Angers,1,1,1.03372,1.62653,0.2013,0.2726,0.5261,D
2018,10742,2018-10-20,Strasbourg,Monaco,2,1,0.819667,1.35931,0.1742,0.3172,0.5086,H
2018,10736,2018-10-21,Montpellier,Bordeaux,2,0,1.87946,0.824068,0.6867,0.2105,0.1028,H
2018,10738,2018-10-21,Nice,Marseille,0,1,0.664719,0.477268,0.3532,0.4245,0.2223,A
2018,10741,2018-10-21,Saint-Etienne,Rennes,1,1,1.76728,2.01595,0.2895,0.2815,0.429,D
2018,10749,2018-10-26,Nimes,Saint-Etienne,1,1,1.32474,1.21742,0.3947,0.2905,0.3148,D
2018,10743,2018-10-27,Amiens,Nantes,1,2,1.03691,1.6779,0.1687,0.2735,0.5578,A
2018,10744,2018-10-27,Angers,Lyon,1,2,1.01309,1.73098,0.1675,0.2719,0.5606,A
2018,10746,2018-10-27,Guingamp,Strasbourg,1,1,1.20639,1.33564,0.2938,0.3199,0.3863,D
2018,10747,2018-10-27,Lille,Caen,1,0,0.613536,0.248162,0.3909,0.4847,0.1244,H
2018,10748,2018-10-27,Monaco,Dijon,2,2,1.31423,0.476065,0.6031,0.2817,0.1152,D
2018,10751,2018-10-27,Toulouse,Montpellier,0,3,1.13389,1.64491,0.2389,0.2713,0.4898,A
2018,10745,2018-10-28,Bordeaux,Nice,0,1,1.67819,1.16671,0.4932,0.2655,0.2413,A
2018,10750,2018-10-28,Rennes,Reims,0,2,0.512686,0.225626,0.3451,0.5282,0.1267,A
2018,10752,2018-10-28,Marseille,Paris Saint Germain,0,2,0.480784,1.47049,0.0819,0.2328,0.6853,A
2018,10759,2018-11-02,Paris Saint Germain,Lille,2,1,2.33789,0.926791,0.75,0.1801,0.0699,H
2018,10753,2018-11-03,Caen,Rennes,1,2,1.3999,2.61648,0.1191,0.1992,0.6817,A
2018,10754,2018-11-03,Dijon,Nimes,0,4,1.27921,2.02604,0.184,0.2415,0.5745,A
2018,10755,2018-11-03,Lyon,Bordeaux,1,1,0.287615,1.08818,0.0867,0.3123,0.601,D
2018,10758,2018-11-03,Nice,Amiens,1,0,1.24182,0.702143,0.5446,0.3096,0.1458,H
2018,10760,2018-11-03,Reims,Monaco,1,0,1.10683,1.02637,0.3384,0.3369,0.3247,H
2018,10762,2018-11-03,Strasbourg,Toulouse,1,1,1.10891,1.10788,0.3274,0.3111,0.3615,D
2018,10756,2018-11-04,Montpellier,Marseille,3,0,1.20106,1.31501,0.3159,0.2848,0.3993,H
2018,10757,2018-11-04,Nantes,Guingamp,5,0,2.4544,0.16042,0.9702,0.0279,0.0019,H
2018,10761,2018-11-04,Saint-Etienne,Angers,4,3,2.07401,1.65241,0.4696,0.2647,0.2657,H
2018,10771,2018-11-09,Lille,Strasbourg,0,0,1.30563,0.137134,0.6989,0.2672,0.0339,D
2018,10763,2018-11-10,Angers,Montpellier,1,0,1.16521,0.268513,0.6495,0.2811,0.0694,H
2018,10765,2018-11-10,Guingamp,Lyon,2,4,1.29165,1.50726,0.2906,0.3084,0.401,A
2018,10767,2018-11-10,Nimes,Nice,0,1,1.00634,1.11076,0.3215,0.3333,0.3452,A
2018,10769,2018-11-10,Saint-Etienne,Reims,2,0,1.30361,0.7083,0.5368,0.2736,0.1896,H
2018,10770,2018-11-10,Toulouse,Amiens,0,1,1.46625,0.703611,0.5601,0.2729,0.167,A
2018,10764,2018-11-11,Bordeaux,Caen,0,0,1.50911,0.302412,0.7336,0.2099,0.0565,D
