,overall_rank,mi_score,mi_rank_pct,rfecv_score,rfecv_rank_pct,lasso_coef,lasso_rank_pct,rf_importance,rf_rank_pct,composite_score,source
net_pl_depth_sh,25,0.008930434553537037,0.3424657534246575,1.0,0.8287671232876712,0.021877727314454393,0.4246575342465753,0.012147434966352769,0.7808219178082192,0.5941780821917808,player
home_starter_ga90,26,0.05125836993212651,0.9315068493150684,0.03125,0.2328767123287671,0.06980137172621742,0.8904109589041096,0.007796126534893509,0.2876712328767123,0.5856164383561644,fbref_team
home_minutes_conc,27,0.03586465760180202,0.821917808219178,0.038461538461538464,0.3150684931506849,0.05698375512513305,0.821917808219178,0.008672223594085848,0.3698630136986301,0.5821917808219178,fbref_team
net_goal_diff,28,0.04160105516895385,0.9041095890410958,1.0,0.8287671232876712,0.0,0.1232876712328767,0.010264397698733232,0.4657534246575342,0.5804794520547946,understat
home_pl_gls_p90,29,0.023197962909888847,0.6164383561643836,1.0,0.8287671232876712,0.0,0.1232876712328767,0.011238172066609648,0.6986301369863014,0.5667808219178082,player
away_roll_xg_diff,30,0.0288776228959553,0.726027397260274,0.5,0.6438356164383562,0.0,0.1232876712328767,0.011844254659254478,0.7397260273972602,0.5582191780821918,understat
home_pl_sot_p90,31,0.018880590667971653,0.5068493150684932,1.0,0.8287671232876712,0.0,0.1232876712328767,0.011519485618875435,0.726027397260274,0.5462328767123288,player
net_pl_sh_p90,32,0.021691516025806656,0.589041095890411,0.04,0.3287671232876712,0.04489818364639029,0.7671232876712328,0.010430293527511908,0.4931506849315068,0.5445205479452055,player
away_pl_pct_fw,33,0.033163390949435545,0.7671232876712328,0.037037037037037035,0.3013698630136986,0.041613291167415224,0.7123287671232876,0.008066379939660381,0.3287671232876712,0.5273972602739725,player
away_pl_ast_p90,34,0.0,0.07534246575342465,0.08333333333333333,0.5068493150684932,0.08834471361235448,0.9315068493150684,0.01062480227645859,0.5616438356164384,0.5188356164383562,player
away_squad_value,35,0.02920673294887921,0.7397260273972602,0.125,0.5616438356164384,0.0,0.1232876712328767,0.010958420831962806,0.6164383561643836,0.5102739726027397,understat
home_squad_age,36,0.019803419302723668,0.5342465753424658,0.05555555555555555,0.4246575342465753,0.04255178346272665,0.726027397260274,0.008179707321494489,0.3424657534246575,0.5068493150684932,understat
net_pl_gls_p90,37,0.009609013256829613,0.3561643835616438,0.2,0.6027397260273972,0.015338444722695787,0.3835616438356164,0.011198579680364897,0.6712328767123288,0.5034246575342466,player
home_roll_goal_diff,38,0.020965245614881223,0.547945205479452,0.0625,0.4520547945205479,0.03472480624285185,0.6438356164383562,0.008625855647159694,0.3561643835616438,0.5,understat
away_pl_depth_sh,39,0.0,0.07534246575342465,0.09090909090909091,0.5205479452054794,0.05090982754594043,0.7808219178082192,0.010855207508207336,0.6027397260273972,0.4948630136986301,player
home_pl_def_p90,40,0.0,0.07534246575342465,0.25,0.6164383561643836,0.02705458331037613,0.4931506849315068,0.011261141156815454,0.7123287671232876,0.4743150684931507,player
net_points,41,0.041369937354102326,0.8904109589041096,0.058823529411764705,0.4383561643835616,0.0,0.1232876712328767,0.009490408716231961,0.4246575342465753,0.4691780821917808,understat
away_pl_starter_mins,42,0.010435848780559365,0.3972602739726027,0.14285714285714285,0.5753424657534246,0.0,0.1232876712328767,0.012050917879491188,0.7671232876712328,0.4657534246575342,player
away_pl_def_p90,43,0.008067484783460088,0.2876712328767123,1.0,0.8287671232876712,0.0,0.1232876712328767,0.0107404471554427,0.5753424657534246,0.4537671232876712,player
away_starter_ga90,44,0.039132718553303025,0.8356164383561644,0.03333333333333333,0.2602739726027397,0.01135570511835028,0.3424657534246575,0.007603227253094677,0.273972602739726,0.4280821917808219,fbref_team
away_squad_age,45,0.02551562597592838,0.6712328767123288,0.029411764705882353,0.2054794520547945,0.039512641449474195,0.684931506849315,0.006698567371268864,0.1506849315068493,0.4280821917808219,understat
away_pl_sh_p90,46,0.006034384887893651,0.2602739726027397,0.07692307692307693,0.4931506849315068,0.010298883241750672,0.3150684931506849,0.010978779412205328,0.6301369863013698,0.42465753424657526,player
home_pl_depth_sh,47,0.005951581666198802,0.2465753424657534,0.07142857142857142,0.4794520547945205,0.013025596387700332,0.3561643835616438,0.010613009358571752,0.5342465753424658,0.40410958904109584,player
home_roll_goals_for,48,0.03528053106986162,0.7945205479452054,0.024390243902439025,0.1095890410958904,0.03333036920701727,0.6027397260273972,0.005712232497747462,0.0821917808219178,0.39726027397260266,understat
home_squad_depth,49,0.03382156114190993,0.7808219178082192,0.034482758620689655,0.273972602739726,0.007432138015544998,0.273972602739726,0.0074170575806016235,0.2465753424657534,0.3938356164383562,fbref_team
away_roll_poss,50,0.0045247675736925785,0.2328767123287671,0.05,0.3972602739726027,0.027379037091581113,0.5068493150684932,0.009166095523705174,0.3972602739726027,0.3835616438356165,fbref_team
net_pl_def_p90,51,0.0,0.07534246575342465,0.1111111111111111,0.547945205479452,0.0021764807188770136,0.2465753424657534,0.01107575587107774,0.6438356164383562,0.3784246575342466,player
away_minutes_conc,52,0.02248299215064309,0.6027397260273972,0.03225806451612903,0.2465753424657534,0.010308204082672271,0.3287671232876712,0.007862558954392,0.3150684931506849,0.37328767123287665,fbref_team
net_pl_sot_p90,53,0.010168885897982705,0.3835616438356164,0.045454545454545456,0.3698630136986301,0.008684925394762474,0.2876712328767123,0.009934970905798337,0.4383561643835616,0.3698630136986301,player
home_pl_sh_p90,54,0.016152659243378942,0.4657534246575342,0.043478260869565216,0.3561643835616438,0.0,0.1232876712328767,0.01043425224382096,0.5068493150684932,0.363013698630137,player
away_roll_xg_against,55,0.0,0.07534246575342465,0.06666666666666667,0.4657534246575342,0.015099367629427542,0.3698630136986301,0.010573142925652784,0.5205479452054794,0.35787671232876705,understat
away_roll_goals_against,56,0.010816110294919135,0.410958904109589,0.02702702702702703,0.1643835616438356,0.03403556785764857,0.6301369863013698,0.006815644229372598,0.2054794520547945,0.3527397260273972,understat
away_player_ga90,57,0.01831709859356323,0.4931506849315068,0.025,0.1232876712328767,0.03879924265565616,0.6712328767123288,0.0063966583872596995,0.1095890410958904,0.3493150684931507,fbref_team
away_squad_depth,58,0.013013773144246343,0.4383561643835616,0.030303030303030304,0.2191780821917808,0.02429020279444904,0.4657534246575342,0.006793092566962968,0.1917808219178082,0.3287671232876712,fbref_team
net_win_rate,59,0.02579522066005646,0.6986301369863014,0.023255813953488372,0.0821917808219178,0.02005425076054913,0.410958904109589,0.006477374970881296,0.1232876712328767,0.3287671232876712,understat
away_roll_points,60,0.021503450492551313,0.5616438356164384,0.023809523809523808,0.0958904109589041,0.029463962441177133,0.547945205479452,0.0062998855897175065,0.0958904109589041,0.3253424657534246,understat
net_squad_depth,61,0.0,0.07534246575342465,0.027777777777777776,0.1780821917808219,0.06905340979390144,0.8767123287671232,0.006698911567394933,0.1643835616438356,0.32363013698630133,fbref_team
home_roll_goals_against,62,0.004398956170753365,0.2191780821917808,0.047619047619047616,0.3835616438356164,0.009784036439020191,0.3013698630136986,0.00899932585054131,0.3835616438356164,0.32191780821917804,understat
away_roll_goals_for,63,0.0,0.07534246575342465,0.02631578947368421,0.1506849315068493,0.06592769393791117,0.863013698630137,0.0065118697065143375,0.136986301369863,0.30650684931506844,understat
net_pl_ast_p90,64,0.0,0.07534246575342465,0.16666666666666666,0.589041095890411,0.0,0.1232876712328767,0.009398233630644614,0.410958904109589,0.2996575342465754,player
away_roll_won,65,0.011981384950125129,0.4246575342465753,0.021739130434782608,0.0410958904109589,0.03294846504430222,0.589041095890411,0.0032077121310765313,0.0410958904109589,0.273972602739726,understat
net_starter_ga90,66,0.0003136629501612198,0.1643835616438356,0.03571428571428571,0.2876712328767123,0.018488840221194878,0.3972602739726027,0.007292425236618977,0.2328767123287671,0.2705479452054794,fbref_team
away_attackers,67,0.008278414781528909,0.3150684931506849,0.02127659574468085,0.0273972602739726,0.04133632617185535,0.6986301369863014,0.0026607695031479403,0.0273972602739726,0.26712328767123283,fbref_team
net_player_ga90,68,0.016335067291582295,0.4794520547945205,0.02564102564102564,0.136986301369863,0.0,0.1232876712328767,0.007835599927757867,0.3013698630136986,0.26027397260273977,fbref_team
away_roll_goal_diff,69,0.015489513526133258,0.4520547945205479,0.02857142857142857,0.1917808219178082,0.0,0.1232876712328767,0.0067384705121079636,0.1780821917808219,0.2363013698630137,understat
home_roll_points,70,0.0037295087653950176,0.2054794520547945,0.041666666666666664,0.3424657534246575,0.0,0.1232876712328767,0.006958419593536125,0.2191780821917808,0.2226027397260274,understat
net_attackers,71,0.002176879863464709,0.1917808219178082,0.022222222222222223,0.0547945205479452,0.025354868174558686,0.4794520547945205,0.0033578002853875103,0.0547945205479452,0.1952054794520548,fbref_team
home_attackers,72,0.0001847986911682753,0.1506849315068493,0.020833333333333332,0.0136986301369863,0.022323037620728736,0.4383561643835616,0.002091173381014144,0.0136986301369863,0.1541095890410959,fbref_team
home_roll_won,73,0.0011813824006132734,0.1780821917808219,0.022727272727272728,0.0684931506849315,0.0,0.1232876712328767,0.0034637303887457543,0.0684931506849315,0.1095890410958904,understat
